chr19	49993873	SNORD33__chr19	3	2	5.45276e-05	6.20367e-05	0.878957
chr19	49994163	SNORD34__chr19	3	2	5.45276e-05	6.20367e-05	0.878957
chr6	43968336	C6orf223__chr6	3	2	5.45276e-05	6.20367e-05	0.878957
chr1	173836883	SNORD74__chr1	1	1	1.81759e-05	3.10183e-05	0.585973
chr1	173837125	GAS5__chr1	1	1	1.81759e-05	3.10183e-05	0.585973
chr1	173837492	ZBTB37__chr1	1	1	1.81759e-05	3.10183e-05	0.585973
chr12	125473667	DHX37__chr12	1	1	1.81759e-05	3.10183e-05	0.585973
chr19	44716690	ZNF227__chr19	1	1	1.81759e-05	3.10183e-05	0.585973
chr20	23618574	CST3__chr20	1	1	1.81759e-05	3.10183e-05	0.585973
chr8	26240522	BNIP3L__chr8	1	1	1.81759e-05	3.10183e-05	0.585973
chr11	74951949	TPBGL__chr11	2	2	3.63517e-05	6.20367e-05	0.585971
chr11	93465665	SNORA8__chr11	2	2	3.63517e-05	6.20367e-05	0.585971
chr16	58231782	CSNK2A2__chr16	2	2	3.63517e-05	6.20367e-05	0.585971
chr19	35136777	SCGB2B3P__chr19	2	2	3.63517e-05	6.20367e-05	0.585971
chrX	48815648	OTUD5__chrX	2	2	3.63517e-05	6.20367e-05	0.585971
chr5	179125929	CANX__chr5	4	5	7.27035e-05	0.000155092	0.468777
chr17	62223437	SNORD104__chr17	4	7	7.27035e-05	0.000217128	0.334842
chr17	62223698	SNORA76__chr17	4	7	7.27035e-05	0.000217128	0.334842
chr7	100472700	SRRT__chr7	2	4	3.63517e-05	0.000124073	0.292986
chr9	127624240	RPL35__chr9	1	2	1.81759e-05	6.20367e-05	0.292986
chr9	140100090	TMEM203__chr9	1	2	1.81759e-05	6.20367e-05	0.292986
chr9	140100118	NDOR1__chr9	1	2	1.81759e-05	6.20367e-05	0.292986
chr1	173835166	SNORD44__chr1	2	6	3.63517e-05	0.00018611	0.195324
chr1	173835853	SNORD76__chr1	1	3	1.81759e-05	9.3055e-05	0.195324
chr1	173836076	SNORD75__chr1	1	3	1.81759e-05	9.3055e-05	0.195324
chr11	62622167	SNORD28__chr11	2	7	3.63517e-05	0.000217128	0.167421
chr11	62620507	SNORD22__chr11	2	8	3.63517e-05	0.000248147	0.146493
chr11	62620865	SNORD31__chr11	2	8	3.63517e-05	0.000248147	0.146493
chr11	62621440	SNORD29__chr11	2	8	3.63517e-05	0.000248147	0.146493
chr11	62621204	SNORD30__chr11	2	9	3.63517e-05	0.000279165	0.130216
chr11	62623103	SNORD25__chr11	1	5	1.81759e-05	0.000155092	0.117194
chr11	62623360	SNHG1__chr11	1	5	1.81759e-05	0.000155092	0.117194
chr11	62623483	SLC3A2__chr11	1	5	1.81759e-05	0.000155092	0.117194
chr11	62622555	SNORD27__chr11	1	6	1.81759e-05	0.00018611	0.0976621
chr11	62622838	SNORD26__chr11	1	6	1.81759e-05	0.00018611	0.0976621
chr1	173835509	SNORD77__chr1	1	6	1.81759e-05	0.00018611	0.0976621
chr8	67834784	SNORD87__chr8	1	7	1.81759e-05	0.000217128	0.0837105
